,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Últimos 5,Público,Artilheiro da equipe,Goleiro,Notas
0,1,Palmeiras,37,20,9,8,63,32,31,69,186,55.8,37.7,18.1,49,D V E V V,22.462,Endrick - 10,Wéverton,
1,2,Atlético Mineiro,37,19,9,9,51,28,23,66,178,45.5,39.4,6.2,17,E V V V V,15.02,Paulinho - 19,Éverson,
2,3,Flamengo,37,19,9,9,56,41,15,66,178,49.4,44.6,4.8,13,E V V D V,34.644,Pedro - 13,Matheus Cunha,
3,4,Grêmio,37,20,5,12,60,54,6,65,176,47.6,52.9,-5.4,-14,V D D V V,20.527,Luis Suárez - 15,Gabriel Chapecó,
4,5,Botafogo (RJ),37,18,10,9,57,34,23,64,173,49.8,47.6,2.2,6,E E E E E,22.125,Tiquinho Soares - 17,Lucas Perri,
5,6,Bragantino,37,17,11,9,48,33,15,62,168,57.0,41.0,16.0,43,E D D D V,3.11,Eduardo Sasha - 11,Cleiton Schwengber,
6,7,Fluminense,37,16,8,13,49,44,5,56,151,47.9,45.9,2.0,5,E V V V D,22.297,Germán Cano - 10,Fábio,
7,8,Ath Paranaense,37,14,14,9,51,40,11,56,151,50.2,44.1,6.0,16,E E E E V,13.349,Vitor Roque - 12,Bento,
8,9,Internacional,37,14,10,13,43,44,-1,52,141,40.9,46.7,-5.8,-16,E D V V V,10.628,Enner Valencia - 8,Sergio Rochet,
9,10,Fortaleza,37,14,9,14,43,43,0,51,138,50.3,42.7,7.5,20,D E E V V,21.666,Juan Martín Lucero - 8,João Ricardo Riedi,
10,11,São Paulo,37,13,11,13,39,38,1,50,135,48.5,36.2,12.3,33,E D E V D,24.678,Jonathan Calleri - 9,Rafael Pires,
11,12,Cuiabá,37,13,9,15,37,39,-2,48,130,36.2,41.2,-5.0,-14,V V E D D,8.109,Deyverson - 12,Walter,
12,13,Corinthians,37,11,14,12,45,48,-3,47,127,39.6,48.7,-9.2,-25,E V D V D,24.253,Yuri Alberto - 8,Cássio,
13,14,Cruzeiro,37,11,13,13,34,31,3,46,124,46.2,40.4,5.9,16,V E V E E,15.14,Bruno Nascimento - 8,Rafael Cabral,
14,15,Santos,37,11,10,16,38,62,-24,43,116,41.4,49.9,-8.5,-23,V E E D D,5.688,Marcos Leonardo - 13,João Paulo,
15,16,Vasco da Gama,37,11,9,17,39,50,-11,42,114,46.0,45.4,0.6,2,V E E D D,15.319,Pablo Vegetti - 10,Léo Jardim,
16,17,Bahia,37,11,8,18,46,52,-6,41,111,49.1,50.2,-1.0,-3,D E V D D,26.643,Everaldo Stum - 9,Marcos Felipe,
17,18,Goiás,37,8,11,18,35,53,-18,35,95,35.6,45.1,-9.4,-26,D D D D D,6.695,Guilherme - 6,Tadeu,
18,19,Coritiba,37,8,6,23,41,71,-30,30,81,38.6,60.0,-21.4,-58,V V D E D,10.428,Robson - 12,Gabriel,
19,20,América (MG),37,5,9,23,42,80,-38,24,65,46.0,61.9,-15.9,-43,D D D D V,2.25,Gonzalo Mastriani - 11,Matheus Cavichioli,
